S.No,DNAPass AS Name,Subject coverage,Weighted Score
1,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.3973
2,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3841
3,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.192
4,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3406
5,BNCH-Java-Jr-Java Jr Dev Test-grades,0,-0.0036
6,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.4275
7,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2899
8,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2065
9,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.4191
10,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3345
11,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4444
12,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.3527
13,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.6063
14,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.32
15,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4952
16,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2524
17,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.6304
18,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.3937
19,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.0918
20,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4686
21,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.6329
22,BNCH-Java-Jr-Java Jr Dev Test-grades,0.72,0.5749
23,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
24,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4988
25,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.5217
26,BNCH-Java-Jr-Java Jr Dev Test-grades,0.56,0.4964
27,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4167
28,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2681
29,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.4541
30,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5326
31,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.599
32,BNCH-Java-Jr-Java Jr Dev Test-grades,0.68,0.5688
